Date,QLD,QQQ,SPY
2006-06-21,0.9827169179916382,33.073482513427734,86.56275177001953
2006-06-22,0.9595947861671448,32.65450668334961,86.18186950683594
2006-06-23,0.9567385315895081,32.62030029296875,86.16803741455078
2006-06-26,0.9602745175361633,32.70579528808594,86.54885864257812
2006-06-27,0.924366295337677,32.09016418457031,85.8010482788086
2006-06-28,0.9356561303138733,32.329593658447266,86.38270568847656
2006-06-29,0.992238461971283,33.312889099121094,88.1276626586914
2006-06-30,0.9827169179916382,33.15044403076172,88.13459014892578
2006-07-03,0.9941422939300537,33.34710693359375,88.49466705322266
2006-07-05,0.9549697637557983,32.62030029296875,87.98916625976562
2006-07-06,0.9493932127952576,32.58609390258789,88.24536895751953
2006-07-07,0.9285829067230225,32.22697067260742,87.67064666748047
2006-07-10,0.9132131934165955,31.94482421875,87.8368148803711
2006-07-11,0.9281746745109558,32.1842155456543,88.22459411621094
2006-07-12,0.8914507627487183,31.577144622802734,87.28290557861328
2006-07-13,0.8630228638648987,31.0469970703125,85.86335754394531
2006-07-14,0.8453410267829895,30.730627059936523,85.53097534179688
2006-07-17,0.8494210243225098,30.807586669921875,85.4063491821289
2006-07-18,0.854181706905365,30.910192489624023,85.84261322021484
2006-07-19,0.8726800680160522,31.31207275390625,87.03361511230469
2006-07-20,0.8488770723342896,30.850345611572266,86.4381332397461
2006-07-21,0.829698920249939,30.52541160583496,85.82872772216797
2006-07-24,0.8603020906448364,31.13249397277832,87.3936767578125
2006-07-25,0.8687359094619751,31.31207275390625,87.70526123046875
2006-07-26,0.8705037236213684,31.286405563354492,87.8229751586914
2006-07-27,0.8616629242897034,31.08120346069336,87.7398910522461
2006-07-28,0.8960747122764587,31.73104476928711,88.61927032470703
2006-07-31,0.8943067193031311,31.722492218017578,88.529296875
2006-08-01,0.8637033104896545,31.192363739013672,88.09303283691406
2006-08-02,0.8796171545982361,31.54294204711914,88.68852996826172
2006-08-03,0.8943067193031311,31.73959732055664,88.9239730834961
2006-08-04,0.8861460089683533,31.594228744506836,88.77164459228516
2006-08-07,0.8754001259803772,31.389013290405273,88.56390380859375
2006-08-08,0.8643833994865417,31.192363739013672,88.22459411621094
2006-08-09,0.8639750480651855,31.235109329223633,87.92689514160156
2006-08-10,0.8749920725822449,31.457427978515625,88.19692993164062
2006-08-11,0.8664235472679138,31.235109329223633,87.94761657714844
2006-08-14,0.8743120431900024,31.440336227416992,88.01685333251953
2006-08-15,0.9198780655860901,32.23552703857422,89.06938171386719
2006-08-16,0.9636746644973755,32.99652862548828,89.810302734375
2006-08-17,0.9697962403297424,33.11621856689453,90.03881072998047
2006-08-18,0.9684353470802307,33.167545318603516,90.495849609375
2006-08-21,0.9507538676261902,32.851165771484375,90.10807800292969
2006-08-22,0.9532017707824707,32.85969543457031,90.10111236572266
2006-08-23,0.9371520280838013,32.61172866821289,89.85188293457031
2006-08-24,0.9443607926368713,32.70579528808594,89.77569580078125
2006-08-25,0.9480336308479309,32.765655517578125,89.88648986816406
2006-08-28,0.9616354703903198,33.01362991333008,90.31578063964844
2006-08-29,0.9677553772926331,33.11621856689453,90.41962432861328
2006-08-30,0.9763249754905701,33.2701530456543,90.47504425048828
2006-08-31,0.9752368927001953,33.23593521118164,90.46122741699219
2006-09-01,0.9840776324272156,33.415504455566406,91.00131225585938
2006-09-05,1.0017590522766113,33.74040985107422,91.17443084716797
